"Monat";"Export";"Import"
"2008-01";83.32416;66.26132
"2008-02";83.516171;66.412813
"2008-03";82.75498;65.987199
"2008-04";88.750606;69.715592
"2008-05";79.7329;65.361974
"2008-06";87.364212;67.603336
"2008-07";86.066979;71.928324
"2008-08";74.859412;64.046596
"2008-09";86.270138;70.996782
"2008-10";88.702243;72.036441
"2008-11";76.085058;66.117708
"2008-12";66.712939;59.374385
"2009-01";63.558787;56.154314
"2009-02";63.788746;55.01826
"2009-03";70.163986;58.763141
"2009-04";64.401285;54.335268
"2009-05";60.652667;50.325592
"2009-06";66.898844;53.172895
"2009-07";70.57742;54.9857
"2009-08";60.088187;51.089512
"2009-09";70.913592;59.412227
"2009-10";72.460259;59.994158
"2009-11";72.294832;56.332975
"2009-12";67.513241;55.03085
"2010-01";63.357946;55.080817
"2010-02";69.985466;56.770051
"2010-03";85.578912;69.33506
"2010-04";75.184617;62.189163
"2010-05";76.191415;66.048866
"2010-06";85.310501;71.19968
"2010-07";81.35034;68.383722
"2010-08";74.393504;64.937957
"2010-09";85.971774;69.498912
"2010-10";86.001449;71.483664
"2010-11";87.624475;73.74028
"2010-12";81.009071;68.428684
"2011-01";79.314862;69.388862
"2011-02";84.5369;72.446865
"2011-03";98.671295;79.785477
"2011-04";84.50994;73.674669
"2011-05";92.352026;77.518623
"2011-06";88.084241;75.190853
"2011-07";85.571816;75.016891
"2011-08";85.255523;73.515609
"2011-09";94.964037;77.650175
"2011-10";89.054958;78.054831
"2011-11";94.104402;77.994747
"2011-12";84.805289;72.28523
"2012-01";85.923959;72.084817
"2012-02";91.008782;75.220856
"2012-03";98.47085;80.878318
"2012-04";87.009306;72.366136
"2012-05";92.445356;76.45772
"2012-06";94.038175;75.82468
"2012-07";93.098376;75.634142
"2012-08";89.896091;72.900837
"2012-09";91.091169;74.04988
"2012-10";98.083005;81.800413
"2012-11";93.345263;76.195403
"2012-12";78.21703;65.991776
"2013-01";88.120018;74.466726
"2013-02";87.862584;71.321877
"2013-03";93.886311;75.089341
"2013-04";93.523668;75.419254
"2013-05";87.779937;73.957377
"2013-06";91.887524;74.84571
"2013-07";92.625103;76.232076
"2013-08";84.436677;71.166635
"2013-09";94.020978;73.739243
"2013-10";98.526377;80.571942
"2013-11";93.977983;76.014373
"2013-12";81.378041;67.568281
"2014-01";89.688711;74.999153
"2014-02";91.298859;75.29784
"2014-03";94.840637;78.293726
"2014-04";92.852347;75.513047
"2014-05";91.064428;73.626155
"2014-06";92.640326;76.573342
"2014-07";99.974346;76.914696
"2014-08";83.109389;69.57036
"2014-09";101.451369;79.861568
"2014-10";102.862979;81.366904
"2014-11";94.902696;77.514267
"2014-12";89.059837;70.613709
"2015-01";89.700681;73.999048
"2015-02";95.368311;76.172448
"2015-03";107.648556;84.560711
"2015-04";100.133138;78.805435
"2015-05";95.390236;76.300286
"2015-06";105.269356;81.699217
"2015-07";106.73187;82.289422
"2015-08";87.7344;72.712318
"2015-09";105.445722;83.177322
"2015-10";105.827743;84.092717
"2015-11";102.684042;82.179261
"2015-12";91.621033;73.25669
"2016-01";88.743676;75.26566
"2016-02";98.567591;79.448149
"2016-03";106.462627;81.006995
"2016-04";103.942314;78.756672
"2016-05";96.762177;76.271586
"2016-06";106.137524;82.052319
"2016-07";95.831617;76.965178
"2016-08";95.979799;76.63438
"2016-09";105.603704;81.854374
"2016-10";101.050833;82.227189
"2016-11";107.635608;85.658251
"2016-12";97.115677;78.776636
"2017-01";98.768003;83.686734
"2017-02";102.39842;82.149145
"2017-03";118.140357;92.820032
"2017-04";100.786388;82.784362
"2017-05";110.452914;88.429651
"2017-06";107.190605;84.833179
"2017-07";103.128382;84.09695
"2017-08";102.957663;82.695834
"2017-09";110.345374;86.104453
"2017-10";107.977832;88.867041
"2017-11";116.277677;92.435711
"2017-12";100.534631;82.109641
"2018-01";107.092452;89.542683
"2018-02";104.721045;86.106277
"2018-03";116.088455;91.063201
"2018-04";110.343444;89.867405
"2018-05";109.064134;89.042133
"2018-06";115.319538;93.371617
"2018-07";110.958652;94.602168
"2018-08";105.383114;87.746975
"2018-09";109.142941;90.970794
"2018-10";117.258865;98.544666
"2018-11";116.261251;96.111092
"2018-12";95.806273;81.751397
"2019-01";108.9;94.206
"2019-02";108.837;91.087
"2019-03";118.219;95.842
"2019-04";109.975;92.139
"2019-05";114.249;93.499
"2019-06";106.164;89.531
"2019-07";114.974;93.66
"2019-08";101.617;85.116
"2019-09";114.148;92.972
"2019-10";119.763;98.442
"2019-11";113.244;94.713
"2019-12";98.063;82.933
"2020-01";106.631;92.918
"2020-02";109.163;88.882
"2020-03";108.932;91.707
"2020-04";75.729;72.281
"2020-05";80.215;73.262
"2020-06";96.029;80.635
"2020-07";102.328;83.112
"2020-08";91.259;79.406
"2020-09";109.835;89.249
"2020-10";112.096;92.732
"2020-11";111.731952;94.57829509